95230    // Forma	Frecuencia	Frec. norm.
salud	111495	242.15
podría	111335	241.8
público	111155	241.41
cinco	111063	241.21
4	110904	240.87
Esta	110182	239.3
último	110049	239.01
Además	108699	236.08
verdad	108453	235.55
dar	108231	235.06
incluso	107324	233.09
da	107243	232.92
podía	106948	232.28
nombre	106823	232.01
número	106799	231.95
llegar	106706	231.75
hora	105918	230.04
alguna	105739	229.65
También	105437	228.99
unas	105036	228.12
obra	104968	227.98
mañana	104843	227.7
partido	104842	227.7
persona	103295	224.34
ahí	103199	224.13
segundo	102720	223.09
allí	102713	223.08
junto	101952	221.43
proyecto	101861	221.23
problemas	101829	221.16
algunas	101820	221.14
–	101609	220.68
10	101411	220.25
nosotros	101103	219.58
manos	100906	219.15
iba	100654	218.61
Ya	100540	218.36
casos	100492	218.25
diferentes	99851	216.86
algún	99637	216.4
semana	99622	216.37
México	99387	215.85
largo	99342	215.76
5	99083	215.19
muerte	98866	214.72
quienes	98304	213.5
esas	98214	213.31
ir	97841	212.5
falta	97664	212.11
estudio	96823	210.29
nacional	96532	209.65
hombres	96492	209.57
uso	96041	208.59
problema	95961	208.41
idea	95439	207.28
varios	94695	205.66
ayer	94262	204.72
mal	93971	204.09
población	93802	203.72
paso	93751	203.61
tuvo	93371	202.79
buena	93280	202.59
sociedad	93159	202.33
voz	93096	202.19
dio	92882	201.73
San	92787	201.52
tema	92716	201.37
libro	91884	199.56
Hay	91544	198.82
trata	91522	198.77
puerta	90971	197.58
todavía	90832	197.27
datos	90733	197.06
Le	90733	197.06
Juan	90551	196.66
mayoría	90388	196.31
Desde	89598	194.59
atención	89343	194.04
hablar	88752	192.76
centro	88747	192.75
palabras	88727	192.7
claro	88494	192.2
cosa	87912	190.93
sería	87820	190.73
minutos	87553	190.15
espacio	87389	189.8
relación	87227	189.44
6	87178	189.34
seguridad	86704	188.31
mercado	86519	187.91
José	86414	187.68
usted	86360	187.56
dicho	85986	186.75
tú	85810	186.37
investigación	85658	186.04
últimos	85606	185.92
sociales	85593	185.9
luz	85453	185.59
tengo	85390	185.45
música	84649	183.85
producción	84496	183.51
saber	84484	183.49
sector	83805	182.01
único	83586	181.54
van	83443	181.23
aquel	83423	181.18
recursos	83365	181.06
ellas	82777	179.78
sabe	82702	179.62
hijo	82404	178.97
Ahora	82143	178.4
primero	82085	178.28
hemos	82056	178.21
Según	81952	177.99
calidad	81837	177.74
empresas	81737	177.52
buen	81688	177.41
pueblo	81621	177.27
empresa	81555	177.13
zona	81480	176.96
servicios	81412	176.81
dinero	81371	176.73
quiere	81246	176.45
amor	81154	176.25
Sí	80810	175.51
alguien	80686	175.24
siglo	80114	174.0
cerca	79791	173.29
calle	79510	172.68
segunda	79420	172.49
propio	79345	172.33
última	78992	171.56
condiciones	78936	171.44
tenemos	78807	171.16
camino	78631	170.77
20	78465	170.41
director	78294	170.04
hacía	78136	169.7
resultados	77158	167.58
total	77148	167.55
hijos	77123	167.5
modo	77071	167.39
estaban	76956	167.14
propia	76681	166.54
programa	76556	166.27
Era	76396	165.92
creo	76326	165.77
siendo	76309	165.73
edad	76051	165.17
puntos	76048	165.16
seis	75949	164.95
visto	75737	164.49
seguir	75414	163.79
estoy	75414	163.79
cara	75346	163.64
ciento	75209	163.34
allá	75148	163.21
llegó	75140	163.19
derecho	75131	163.17
juego	75067	163.03
hubiera	74813	162.48
joven	74771	162.39
presencia	73835	160.36
capacidad	73797	160.28
salir	73764	160.2
puesto	73640	159.93
estamos	73477	159.58
nuevos	73430	159.48
Esto	73371	159.35
ningún	73369	159.35
jóvenes	73172	158.92
papel	73171	158.92
Aunque	73136	158.84
pasar	72666	157.82
nuevas	72243	156.9
futuro	72157	156.71
deben	71920	156.2
actividad	71819	155.98
varias	71746	155.82
igual	71482	155.25
vista	71195	154.62
cierto	70971	154.14
alto	70892	153.97
Cómo	70636	153.41
experiencia	70369	152.83
personal	70232	152.53
dólares	70190	152.44
dado	70079	152.2
Eso	69875	151.76
Que	69576	151.11
aquella	69419	150.77
voy	69207	150.31
riesgo	69158	150.2
15	69113	150.1
sigue	68859	149.55
apenas	68799	149.42
objetivo	68791	149.4
ley	68780	149.38
nuestros	68579	148.94
actividades	68567	148.92
quería	68480	148.73
control	68450	148.66
niño	68325	148.39
tenido	68180	148.08
siguiente	68116	147.94
razón	68109	147.92
mes	68093	147.89
demás	68027	147.74
educación	68007	147.7
haya	68002	147.69
arte	67908	147.49
medios	67859	147.38
difícil	67735	147.11
campo	67567	146.74
productos	67450	146.49
grupos	67434	146.46
dejar	67419	146.42
hacen	67327	146.22
pensar	67296	146.16
guerra	67198	145.94
primeros	67146	145.83
serie	67035	145.59
pasa	67031	145.58
principal	66713	144.89
fuerza	66614	144.67
Madrid	66497	144.42
aire	66245	143.87
valor	66242	143.87
necesario	66224	143.83
quién	66190	143.75
padres	66139	143.64
acuerdo	66110	143.58
tampoco	66010	143.36
tierra	65705	142.7
Mi	65700	142.69
Universidad	65620	142.52
derechos	65149	141.49
encuentra	65145	141.48
soy	65069	141.32
resto	65044	141.26
haciendo	64963	141.09
7	64773	140.68
media	64341	139.74
conocer	64303	139.66
Te	64171	139.37
anterior	64020	139.04
posibilidad	64006	139.01
imagen	63911	138.8
gracias	63869	138.71
Después	63837	138.64
ninguna	63837	138.64
pronto	63725	138.4
muestra	63618	138.17
tomar	63595	138.12
ambos	63483	137.87
obras	63474	137.85
servicio	63430	137.76
quiero	63346	137.58
cultura	63272	137.42
menor	63131	137.11
debido	63128	137.1
político	63111	137.07
principio	63097	137.04
respecto	62787	136.36
estudios	62621	136.0
bueno	62561	135.87
crisis	62258	135.21
12	62252	135.2
español	62209	135.11
resultado	62108	134.89
existe	62088	134.84
amigos	61987	134.63
permite	61781	134.18
alta	61773	134.16
interés	61767	134.15
políticas	61534	133.64
30	61508	133.58
Todo	61439	133.44
aquellos	61405	133.36
necesidad	61403	133.36
actual	61382	133.31
mediante	61311	133.16
cuales	61203	132.92
apoyo	61202	132.92
evitar	61197	132.91
Fue	61096	132.69
mesa	60884	132.23
capital	60830	132.11
especial	60820	132.09
fondo	60679	131.78
Carlos	60672	131.77
respuesta	60455	131.3
decía	60383	131.14
Entre	60157	130.65
8	60139	130.61
decisión	60138	130.61
base	60070	130.46
internacional	59985	130.28
sabía	59850	129.98
cantidad	59756	129.78
fuerte	59744	129.75
vamos	59623	129.49
orden	59610	129.46
podemos	59556	129.35
diez	59425	129.06
efecto	59421	129.05
DE	59323	128.84
Luego	59269	128.72
modelo	59216	128.61
época	58786	127.67
mirada	58745	127.58
presente	58515	127.08
ex	58247	126.5
dejó	58174	126.34
película	58102	126.19
participación	57724	125.37
miedo	57558	125.01
puedo	57514	124.91
queda	57471	124.82
quedó	57252	124.34
análisis	57234	124.3
conjunto	57213	124.26
Dios	57182	124.19
parecía	57166	124.15
pública	56934	123.65
región	56912	123.6
demasiado	56886	123.55
lleva	56777	123.31
crecimiento	56774	123.3
acción	56773	123.3
carrera	56772	123.3
trabajar	56731	123.21
silencio	56556	122.83
O	56550	122.82
vivir	56509	122.73
importantes	56440	122.58
euros	56418	122.53
importancia	56300	122.27
palabra	56219	122.1
enfermedad	56098	121.83
habría	56016	121.66
cine	56001	121.62
local	55750	121.08
mayores	55647	120.86
duda	55612	120.78
Colombia	55589	120.73
alrededor	55567	120.68
ayuda	55467	120.46
medida	55449	120.43
pregunta	55275	120.05
pudo	55151	119.78
única	55132	119.74
volver	55073	119.61
comunidad	55058	119.58
grande	55004	119.46
suelo	54978	119.4
comunicación	54874	119.18
Entonces	54757	118.92
dónde	54674	118.74
principales	54670	118.73
encima	54657	118.71
línea	54644	118.68
interior	54625	118.64
espera	54570	118.52
libros	54545	118.46
pasó	54445	118.24
mejores	54341	118.02
cambios	54335	118.01
encuentro	54222	117.76
atrás	54186	117.68
medidas	54019	117.32
cabo	53988	117.25
Europa	53860	116.97
acceso	53833	116.92
realizar	53773	116.79
partidos	53765	116.77
Argentina	53707	116.64
pueda	53592	116.39
consumo	53157	115.45
humanos	53107	115.34
acciones	53084	115.29
conocimiento	53083	115.29
movimiento	52878	114.84
Ella	52841	114.76
Ministerio	52800	114.67
dije	52748	114.56
relaciones	52736	114.53
autoridades	52712	114.48
próximo	52564	114.16
energía	52509	114.04
bastante	52477	113.97
siete	52325	113.64
Luis	52168	113.3
pequeño	52160	113.28
viene	52149	113.26
boca	52125	113.21
ve	52046	113.03
América	52039	113.02
11	51992	112.92
encontrar	51966	112.86
libertad	51778	112.45
poner	51739	112.37
formación	51726	112.34
construcción	51692	112.27
llevar	51635	112.14
amigo	51586	112.04
─	51445	111.73
temas	51336	111.49
especialmente	51265	111.34
busca	51243	111.29
común	51154	111.1
viaje	51141	111.07
violencia	51121	111.03
cuarto	51094	110.97
área	51050	110.87
mucha	51012	110.79
María	50998	110.76
diferencia	50993	110.75
metros	50931	110.61
Chile	50843	110.42
color	50825	110.38
Mientras	50804	110.34
economía	50740	110.2
organización	50590	109.87
hacerlo	50517	109.71
seguro	50505	109.69
éxito	50354	109.36
compañía	50340	109.33
tratamiento	50240	109.11
mismos	50239	109.11
origen	50192	109.01
humano	50139	108.89
tecnología	50112	108.83
políticos	50049	108.7
par	49974	108.53
natural	49945	108.47
clase	49893	108.36
momentos	49799	108.15
libre	49549	107.61
fácil	49465	107.43
pacientes	49446	107.39
pie	49268	107.0
estuvo	49265	106.99
oportunidad	49224	106.91
corazón	49213	106.88
proyectos	49058	106.54
tenían	48994	106.41
miembros	48991	106.4
especie	48895	106.19
lejos	48875	106.15
sangre	48851	106.1
baja	48741	105.86
gusta	48738	105.85
contrario	48683	105.73
cargo	48577	105.5
elementos	48493	105.32
Más	48371	105.05
mitad	48365	105.04
pocos	48315	104.93
causa	48302	104.9
jefe	48112	104.49
9	47945	104.13
formas	47887	104.0
ministro	47868	103.96
instituciones	47817	103.85
Durante	47762	103.73
procesos	47560	103.29
prensa	47540	103.25
económica	47524	103.21
cama	47519	103.2
mar	47497	103.15
función	47494	103.15
naturaleza	47397	102.94
tiempos	47243	102.6
ocho	47212	102.54
dolor	47192	102.49
real	47188	102.48
memoria	47088	102.27
señor	47087	102.26
televisión	47062	102.21
hija	46975	102.02
buscar	46918	101.9
explicó	46836	101.72
Son	46745	101.52
mundial	46730	101.49
nuestras	46630	101.27
semanas	46565	101.13
piel	46518	101.03
explica	46517	101.03
puso	46495	100.98
plan	46290	100.53
efectos	46269	100.49
18	46243	100.43
producto	46201	100.34
Él	46127	100.18
preguntó	46058	100.03
suerte	46029	99.97
sola	45946	99.79
tus	45910	99.71
mantener	45824	99.52
posición	45620	99.08
económico	45616	99.07
volvió	45613	99.06
materia	45598	99.03
cultural	45400	98.6
Porque	45342	98.47
sitio	45263	98.3
vuelta	45202	98.17
14	45193	98.15
autor	45173	98.11
programas	45116	97.98
acerca	45035	97.81
niveles	45022	97.78
señaló	44855	97.42
médico	44831	97.36
vino	44726	97.14
partes	44660	96.99
sean	44640	96.95
enero	44632	96.93
0	44619	96.9
deja	44517	96.68
llega	44512	96.67
Hasta	44470	96.58
sueño	44463	96.56
carácter	44397	96.42
teléfono	44359	96.34
25	44327	96.27
Nos	44288	96.18
pequeña	44262	96.13
hubo	44233	96.07
vio	44197	95.99
comenzó	44156	95.9
fecha	44153	95.89
blanco	44111	95.8
entrada	44106	95.79
peso	44069	95.71
entender	43919	95.38
LA	43853	95.24
diciembre	43650	94.8
Todos	43556	94.59
creación	43449	94.36
entrar	43256	93.94
capaz	43179	93.78
estudiantes	43095	93.59
adelante	42993	93.37
dirección	42986	93.36
llamado	42942	93.26
propuesta	42929	93.23
50	42864	93.09
existen	42781	92.91
16	42728	92.8
temporada	42706	92.75
Mundial	42647	92.62
valores	42555	92.42
lugares	42525	92.36
práctica	42493	92.29
éste	42459	92.21
precio	42414	92.11
habla	42413	92.11
13	42292	91.85
Ley	42265	91.79
ciencia	42258	91.78
hermano	42107	91.45
alimentos	42052	91.33
red	42004	91.22
distintos	41999	91.21
campaña	41985	91.18
cuyo	41961	91.13
Nueva	41951	91.11
gestión	41930	91.06
negro	41849	90.89
novela	41767	90.71
policía	41667	90.49
encuentran	41602	90.35
imágenes	41593	90.33
zonas	41582	90.31
cuya	41571	90.28
sol	41485	90.1
viejo	41360	89.83
especies	41182	89.44
marzo	41146	89.36
crear	41116	89.3
digo	41056	89.16
resulta	41042	89.13
peor	41011	89.07
figura	40979	89.0
Venezuela	40843	88.7
contar	40773	88.55
ti	40626	88.23
aumento	40585	88.14
República	40540	88.04
lucha	40457	87.86
Uno	40449	87.85
trabajadores	40448	87.84
llegado	40440	87.83
Esa	40267	87.45
detrás	40223	87.36
has	40201	87.31
mamá	40121	87.13
ideas	40069	87.02
sistemas	40061	87.0
Hoy	40023	86.92
domingo	39962	86.79
Centro	39938	86.74
marcha	39916	86.69
características	39908	86.67
rostro	39879	86.61
existencia	39827	86.5
Instituto	39817	86.47
lograr	39804	86.45
tienes	39797	86.43
ocasiones	39786	86.41
Consejo	39748	86.32
escenario	39729	86.28
equipos	39719	86.26
escuela	39707	86.24
acto	39655	86.12
debía	39599	86.0
EL	39595	85.99
Salud	39566	85.93
fútbol	39552	85.9
plazo	39532	85.85
diario	39496	85.78
título	39458	85.69
etc	39447	85.67
hechos	39398	85.56
/	39320	85.39
presenta	39187	85.11
daba	39174	85.08
ido	39166	85.06
animales	39108	84.93
particular	39085	84.88
mira	39045	84.8
sectores	39032	84.77
informe	38953	84.6
lista	38944	84.58
distintas	38894	84.47
género	38854	84.38
Santa	38818	84.3
prueba	38785	84.23
esfuerzo	38771	84.2
texto	38747	84.15
marco	38742	84.14
oficial	38701	84.05
Sólo	38671	83.98
suficiente	38654	83.95
cocina	38651	83.94
serán	38552	83.73
familias	38552	83.73
ciudadanos	38550	83.72
100	38503	83.62
17	38489	83.59
somos	38475	83.56
jugar	38464	83.54
teatro	38450	83.5
pequeños	38417	83.43
mejorar	38378	83.35
central	38357	83.3
Ese	38323	83.23
Congreso	38321	83.22
niña	38300	83.18
española	38299	83.18
estilo	38199	82.96
Barcelona	38193	82.95
elecciones	38193	82.95
llevó	38172	82.9
comida	38156	82.87
estructura	38130	82.81
conocido	38129	82.81
aspectos	38117	82.78
jugadores	38103	82.75
artículo	37916	82.35
toma	37910	82.33
hicieron	37902	82.31
locales	37868	82.24
estás	37824	82.15
reunión	37721	81.92
mayo	37704	81.88
superior	37665	81.8
salida	37578	81.61
términos	37573	81.6
Pues	37557	81.57
empezó	37552	81.55
sala	37480	81.4
enfermedades	37427	81.28
tendrá	37410	81.25
cuestión	37409	81.24
café	37404	81.23
pone	37336	81.09
doctor	37297	81.0
paz	37289	80.98
pareja	37273	80.95
llama	37204	80.8
áreas	37158	80.7
profesional	37116	80.61
dan	37084	80.54
Sus	37000	80.36
espacios	36962	80.27
destino	36923	80.19
redes	36878	80.09
aseguró	36795	79.91
factores	36740	79.79
inversión	36703	79.71
principios	36688	79.68
arriba	36681	79.66
viernes	36613	79.52
visión	36613	79.52
Cuba	36511	79.29
dicen	36482	79.23
habrá	36481	79.23
recuerdo	36471	79.21
impacto	36454	79.17
comer	36430	79.12
escena	36420	79.1
río	36391	79.03
octubre	36384	79.02
cambiar	36369	78.99
industria	36338	78.92
realmente	36308	78.85
asunto	36305	78.85
centros	36301	78.84
dejado	36289	78.81
marca	36266	78.76
opinión	36244	78.71
personajes	36236	78.7
favor	36227	78.68
material	36128	78.46
expresión	36083	78.36
Está	36013	78.21
territorio	35997	78.18
ganar	35975	78.13
profesionales	35968	78.11
Miguel	35957	78.09
técnico	35947	78.07
distancia	35922	78.01
]	35905	77.98
40	35894	77.95
puedan	35874	77.91
Jorge	35866	77.89
quizá	35839	77.83
abril	35817	77.79
primeras	35798	77.75
Brasil	35793	77.73
cierta	35729	77.6
24	35716	77.57
calles	35703	77.54
[	35697	77.53
piso	35686	77.5
salió	35670	77.47
significa	35639	77.4
pesos	35627	77.37
confianza	35563	77.23
junio	35537	77.18
comunidades	35487	77.07
muerto	35447	76.98
ejercicio	35431	76.95
julio	35431	76.95
objeto	35431	76.95
noviembre	35415	76.91
ocasión	35387	76.85
etapa	35369	76.81
precios	35331	76.73
responsabilidad	35300	76.66
derecha	35288	76.64
Ni	35252	76.56
General	35218	76.49
defensa	35200	76.45
imposible	35173	76.39
habitación	35128	76.29
escribir	35126	76.29
don	35123	76.28
kilómetros	35087	76.2
Estos	35083	76.19
Santiago	35001	76.01
artista	34995	76.0
Tras	34991	75.99
Cada	34969	75.94
considera	34962	75.93
debería	34962	75.93
izquierda	34948	75.9
Francia	34942	75.89
públicos	34928	75.86
enorme	34928	75.86
clave	34851	75.69
aplicación	34773	75.52
podrían	34773	75.52
conseguir	34752	75.47
vía	34747	75.46
ropa	34729	75.42
familiar	34653	75.26
The	34625	75.2
rato	34624	75.2
tenga	34612	75.17
internacionales	34610	75.16
protección	34604	75.15
fuentes	34601	75.15
concepto	34600	75.14
década	34596	75.13
febrero	34575	75.09
Internet	34480	74.88
contexto	34449	74.82
fuerzas	34440	74.8
diferente	34437	74.79
septiembre	34425	74.76
cielo	34406	74.72
contenido	34358	74.62
generación	34313	74.52
sábado	34296	74.48
propios	34284	74.46
perder	34269	74.42
popular	34253	74.39
fuego	34218	74.31
decisiones	34206	74.29
señala	34190	74.25
perdido	34125	74.11
lunes	34059	73.97
versión	34045	73.94
pena	34040	73.93
esté	33953	73.74
19	33935	73.7
esperar	33916	73.66
necesidades	33916	73.66
diversos	33762	73.32
usuarios	33760	73.32
fundamental	33758	73.31
Comisión	33751	73.3
vas	33685	73.16
líder	33569	72.9
inglés	33544	72.85
carne	33500	72.75
vuelve	33467	72.68
literatura	33441	72.63
visita	33432	72.61
trabajos	33427	72.6
condición	33421	72.58
Pedro	33269	72.25
21	33185	72.07
militar	33174	72.05
tercera	33161	72.02
demanda	33154	72.0
artistas	33112	71.91
ambiente	33111	71.91
barrio	33093	71.87
leer	33010	71.69
recién	32941	71.54
Había	32884	71.42
selección	32869	71.38
norte	32861	71.37
darle	32860	71.36
humana	32773	71.18
aspecto	32757	71.14
posibilidades	32674	70.96
familiares	32665	70.94
ciudades	32648	70.9
Internacional	32646	70.9
sensación	32634	70.87
necesita	32609	70.82
brazos	32573	70.74
sur	32553	70.7
contacto	32517	70.62
organizaciones	32487	70.55
indicó	32439	70.45
preguntas	32418	70.4
Nunca	32412	70.39
estrategia	32410	70.39
nacionales	32410	70.39
negocio	32407	70.38
llamada	32392	70.35
casas	32374	70.31
finalmente	32366	70.29
cumplir	32350	70.26
finales	32344	70.24
inicio	32332	70.22
afirmó	32320	70.19
últimas	32309	70.17
consecuencia	32309	70.17
ámbito	32302	70.15
juntos	32289	70.12
produce	32286	70.12
ofrece	32281	70.11
técnica	32270	70.08
%	32256	70.05
ocurre	32215	69.96
españoles	32183	69.89
obtener	32169	69.86
ésta	32159	69.84
pelo	32118	69.75
llevaba	32102	69.72
informó	32040	69.58
•	32032	69.57
carta	32031	69.56
estadounidense	32000	69.5
Antes	31926	69.34
lengua	31924	69.33
justicia	31867	69.21
22	31864	69.2
pasos	31862	69.2
profesor	31861	69.19
actores	31841	69.15
grado	31805	69.07
personaje	31790	69.04
golpe	31774	69.01
justo	31772	69.0
larga	31751	68.96
miles	31741	68.93
intereses	31711	68.87
razones	31709	68.86
doble	31692	68.83
puedes	31689	68.82
edición	31672	68.78
tercer	31663	68.76
cuidado	31611	68.65
…	31590	68.61
compañeros	31589	68.6
empleo	31560	68.54
deseo	31536	68.49
sentía	31528	68.47
objetivos	31520	68.45
siguientes	31517	68.45
diseño	31487	68.38
mala	31476	68.36
delante	31470	68.35
conciencia	31439	68.28
agosto	31429	68.26
Creo	31416	68.23
Manuel	31364	68.11
fiscal	31347	68.08
diversas	31316	68.01
pies	31303	67.98
pidió	31292	67.96
papá	31262	67.89
ingresos	31257	67.88
discurso	31199	67.76
menores	31195	67.75
edificio	31181	67.72
cree	31173	67.7
eres	31166	67.68
jamás	31163	67.68
nueve	31159	67.67
precisamente	31145	67.64
tipos	31128	67.6
paciente	31097	67.53
hospital	31057	67.45
marido	31039	67.41
Antonio	30980	67.28
aquellas	30974	67.27
mensaje	30971	67.26
solución	30943	67.2
período	30931	67.17
identidad	30904	67.12
altura	30893	67.09
Bueno	30818	66.93
rápido	30808	66.91
directamente	30686	66.64
Fernando	30685	66.64
plantas	30638	66.54
médicos	30616	66.49
podido	30583	66.42
Perú	30579	66.41
Siempre	30566	66.38
Aquí	30550	66.35
institución	30468	66.17
veía	30467	66.17
películas	30451	66.13
mismas	30441	66.11
democracia	30433	66.09
recibir	30398	66.02
clases	30392	66.0
sentir	30384	65.99
sabes	30372	65.96
entorno	30346	65.9
motivo	30304	65.81
decidió	30265	65.73
científicos	30263	65.72
lenguaje	30262	65.72
tamaño	30248	65.69
realizado	30244	65.68
pruebas	30240	65.67
hablando	30177	65.54
vive	30164	65.51
responsable	30136	65.45
cáncer	30103	65.38
competencia	30097	65.36
alumnos	30086	65.34
verano	30054	65.27
reforma	30051	65.26
mente	30012	65.18
física	29999	65.15
abajo	29923	64.99
esposa	29901	64.94
club	29876	64.88
coche	29864	64.86
u	29847	64.82
máximo	29807	64.73
aparece	29802	64.72
gesto	29792	64.7
fiesta	29780	64.67
públicas	29779	64.67
normal	29743	64.59
pagar	29732	64.57
Educación	29719	64.54
siento	29682	64.46
2000	29674	64.44
podrá	29629	64.35
respeto	29620	64.33
víctimas	29605	64.29
naturales	29592	64.27
compromiso	29575	64.23
